"Date","Market","Component","Delmo","Segment","Price"
2017-08-02,"ERCOT ","ZONE N",2018-08-01,"pkPrice",62.99685
2017-08-02,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.5085
2017-08-02,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.739
2017-08-02,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.024
2017-08-02,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.5042
2017-08-03,"ERCOT ","ZONE N",2018-01-01,"pkPrice",26.89635
2017-08-03,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.1206
2017-08-03,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.221575
2017-08-03,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.3655
2017-08-03,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.5983
2017-08-03,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.0761
2017-08-03,"ERCOT ","ZONE N",2018-07-01,"pkPrice",44.51965
2017-08-03,"ERCOT ","ZONE N",2018-08-01,"pkPrice",64.6734
2017-08-03,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.4843
2017-08-03,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.969
2017-08-03,"ERCOT ","ZONE N",2018-11-01,"pkPrice",23.9686
2017-08-03,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.2952
2017-08-04,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.0009
2017-08-04,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.23885
2017-08-04,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.045648
2017-08-04,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.2446
2017-08-04,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.4982
2017-08-04,"ERCOT ","ZONE N",2018-06-01,"pkPrice",30.97755
2017-08-04,"ERCOT ","ZONE N",2018-07-01,"pkPrice",44.6964
2017-08-04,"ERCOT ","ZONE N",2018-08-01,"pkPrice",64.80165
2017-08-04,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.54075
2017-08-04,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.8994
