"Date","Market","Component","Delmo","Segment","Price"
2017-08-01,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.887
2017-08-01,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.019
2017-08-02,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.184
2017-08-02,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.175
2017-08-02,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.132
2017-08-02,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.826
2017-08-02,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.802
2017-08-02,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.827
2017-08-02,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.852
2017-08-02,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.857
2017-08-02,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.838
2017-08-02,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.86
2017-08-02,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.912
2017-08-02,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.044
2017-08-03,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.183
2017-08-03,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.172
2017-08-03,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.13
2017-08-03,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.835
2017-08-03,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.813
2017-08-03,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.838
2017-08-03,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.863
2017-08-03,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.868
2017-08-03,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.849
2017-08-03,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.87
2017-08-03,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.923
2017-08-03,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.056
2017-08-04,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.158
2017-08-04,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.149
2017-08-04,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.109
2017-08-04,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.822
2017-08-04,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.802
2017-08-04,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.829
2017-08-04,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.856
2017-08-04,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.861
2017-08-04,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.841
2017-08-04,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.862
